	Step_Size	Window_Start	Window_End	Total_Kernels	Total_Fluor	Total_NonFluor	P-Value	Comparison	window_mean	Percent_Transmission
425	2	995	1395	82	21	61	9.995948132466275e-06	< p = 0.05	1195.0	0.25609756097560976
426	2	997	1397	81	21	60	1.4686847673789383e-05	< p = 0.05	1197.0	0.25925925925925924
427	2	999	1399	81	21	60	1.4686847673789383e-05	< p = 0.05	1199.0	0.25925925925925924
428	2	1001	1401	81	21	60	1.4686847673789383e-05	< p = 0.05	1201.0	0.25925925925925924
429	2	1003	1403	80	21	59	2.1517864378120177e-05	< p = 0.05	1203.0	0.2625
430	2	1005	1405	81	22	59	3.937596436316891e-05	< p = 0.05	1205.0	0.2716049382716049
431	2	1007	1407	81	22	59	3.937596436316891e-05	< p = 0.05	1207.0	0.2716049382716049
432	2	1009	1409	81	22	59	3.937596436316891e-05	< p = 0.05	1209.0	0.2716049382716049
433	2	1011	1411	80	22	58	5.699411623331848e-05	< p = 0.05	1211.0	0.275
434	2	1013	1413	81	22	59	3.937596436316891e-05	< p = 0.05	1213.0	0.2716049382716049
435	2	1015	1415	81	22	59	3.937596436316891e-05	< p = 0.05	1215.0	0.2716049382716049
436	2	1017	1417	82	23	59	7.022123314222527e-05	< p = 0.05	1217.0	0.2804878048780488
437	2	1019	1419	82	23	59	7.022123314222527e-05	< p = 0.05	1219.0	0.2804878048780488
438	2	1021	1421	82	23	59	7.022123314222527e-05	< p = 0.05	1221.0	0.2804878048780488
439	2	1023	1423	81	23	58	0.00010070420585357005	< p = 0.05	1223.0	0.2839506172839506
440	2	1025	1425	83	23	60	4.8804893241909816e-05	< p = 0.05	1225.0	0.27710843373493976
441	2	1027	1427	81	23	58	0.00010070420585357005	< p = 0.05	1227.0	0.2839506172839506
442	2	1029	1429	80	23	57	0.00014392985649715713	< p = 0.05	1229.0	0.2875
443	2	1031	1431	80	23	57	0.00014392985649715713	< p = 0.05	1231.0	0.2875
444	2	1033	1433	81	23	58	0.00010070420585357005	< p = 0.05	1233.0	0.2839506172839506
445	2	1035	1435	80	23	57	0.00014392985649715713	< p = 0.05	1235.0	0.2875
446	2	1037	1437	80	23	57	0.00014392985649715713	< p = 0.05	1237.0	0.2875
447	2	1039	1439	80	23	57	0.00014392985649715713	< p = 0.05	1239.0	0.2875
448	2	1041	1441	80	23	57	0.00014392985649715713	< p = 0.05	1241.0	0.2875
449	2	1043	1443	79	23	56	0.00020498690927035955	< p = 0.05	1243.0	0.2911392405063291
450	2	1045	1445	77	23	54	0.00041121782685697836	< p = 0.05	1245.0	0.2987012987012987
451	2	1047	1447	76	23	53	0.0005790632172192773	< p = 0.05	1247.0	0.3026315789473684
452	2	1049	1449	78	24	54	0.0006817102933708401	< p = 0.05	1249.0	0.3076923076923077
453	2	1051	1451	77	23	54	0.00041121782685697836	< p = 0.05	1251.0	0.2987012987012987
454	2	1053	1453	77	23	54	0.00041121782685697836	< p = 0.05	1253.0	0.2987012987012987
455	2	1055	1455	75	23	52	0.0008121171348941297	< p = 0.05	1255.0	0.30666666666666664
456	2	1057	1457	76	23	53	0.0005790632172192773	< p = 0.05	1257.0	0.3026315789473684
457	2	1059	1459	76	23	53	0.0005790632172192773	< p = 0.05	1259.0	0.3026315789473684
458	2	1061	1461	78	24	54	0.0006817102933708401	< p = 0.05	1261.0	0.3076923076923077
459	2	1063	1463	77	25	52	0.0020914050461957132	< p = 0.05	1263.0	0.3246753246753247
460	2	1065	1465	77	25	52	0.0020914050461957132	< p = 0.05	1265.0	0.3246753246753247
461	2	1067	1467	77	25	52	0.0020914050461957132	< p = 0.05	1267.0	0.3246753246753247
462	2	1069	1469	78	25	53	0.0015224195555604972	< p = 0.05	1269.0	0.32051282051282054
463	2	1071	1471	78	25	53	0.0015224195555604972	< p = 0.05	1271.0	0.32051282051282054
464	2	1073	1473	79	25	54	0.0011033489413063281	< p = 0.05	1273.0	0.31645569620253167
465	2	1075	1475	79	25	54	0.0011033489413063281	< p = 0.05	1275.0	0.31645569620253167
466	2	1077	1477	80	25	55	0.0007962301575908105	< p = 0.05	1277.0	0.3125
467	2	1079	1479	80	25	55	0.0007962301575908105	< p = 0.05	1279.0	0.3125
468	2	1081	1481	80	25	55	0.0007962301575908105	< p = 0.05	1281.0	0.3125
469	2	1083	1483	79	25	54	0.0011033489413063281	< p = 0.05	1283.0	0.31645569620253167
470	2	1085	1485	80	25	55	0.0007962301575908105	< p = 0.05	1285.0	0.3125
471	2	1087	1487	80	25	55	0.0007962301575908105	< p = 0.05	1287.0	0.3125
472	2	1089	1489	80	25	55	0.0007962301575908105	< p = 0.05	1289.0	0.3125
473	2	1091	1491	80	25	55	0.0007962301575908105	< p = 0.05	1291.0	0.3125
474	2	1093	1493	80	25	55	0.0007962301575908105	< p = 0.05	1293.0	0.3125
475	2	1095	1495	80	25	55	0.0007962301575908105	< p = 0.05	1295.0	0.3125
