	File	Step_Size	Window_Start	Window_End	Total_Kernels	Total_Fluor	Total_NonFluor	P-Value	Comparison	window_mean	Normalized_Window_Mean	Percent_Transmission
129	X4-1x402.xml	2	506	906	100	47	53	0.5485062355001471	> p = 0.05	706.0	0.29723502304147464	0.47
130	X4-1x402.xml	2	508	908	99	47	52	0.615302555690511	> p = 0.05	708.0	0.2995391705069124	0.47474747474747475
131	X4-1x402.xml	2	510	910	98	47	51	0.6861678498552392	> p = 0.05	710.0	0.30184331797235026	0.47959183673469385
132	X4-1x402.xml	2	512	912	101	48	53	0.6188233932543242	> p = 0.05	712.0	0.30414746543778803	0.4752475247524752
133	X4-1x402.xml	2	514	914	100	48	52	0.6891565167793516	> p = 0.05	714.0	0.3064516129032258	0.48
134	X4-1x402.xml	2	516	916	99	47	52	0.615302555690511	> p = 0.05	716.0	0.3087557603686636	0.47474747474747475
135	X4-1x402.xml	2	518	918	101	48	53	0.6188233932543242	> p = 0.05	718.0	0.31105990783410137	0.4752475247524752
136	X4-1x402.xml	2	520	920	100	47	53	0.5485062355001471	> p = 0.05	720.0	0.31336405529953915	0.47
137	X4-1x402.xml	2	522	922	99	46	53	0.48172771631662636	> p = 0.05	722.0	0.315668202764977	0.46464646464646464
138	X4-1x402.xml	2	524	924	99	46	53	0.48172771631662636	> p = 0.05	724.0	0.31797235023041476	0.46464646464646464
139	X4-1x402.xml	2	526	926	99	46	53	0.48172771631662636	> p = 0.05	726.0	0.32027649769585254	0.46464646464646464
140	X4-1x402.xml	2	528	928	99	46	53	0.48172771631662636	> p = 0.05	728.0	0.3225806451612903	0.46464646464646464
141	X4-1x402.xml	2	530	930	100	47	53	0.5485062355001471	> p = 0.05	730.0	0.3248847926267281	0.47
142	X4-1x402.xml	2	532	932	100	48	52	0.6891565167793516	> p = 0.05	732.0	0.3271889400921659	0.48
143	X4-1x402.xml	2	534	934	100	47	53	0.5485062355001471	> p = 0.05	734.0	0.3294930875576037	0.47
144	X4-1x402.xml	2	536	936	101	48	53	0.6188233932543242	> p = 0.05	736.0	0.3317972350230415	0.4752475247524752
